,names,Yield Strength,Pressure treated,Area under heat treatment curve,Strengthening Precipitate Phase,Powder processed,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,Ultimate Tensile Strength,Elongation
422,HaynesR-41,,No,16476,,No,1.5,0.006,0.09,11,19,0,5,,,0,0.1,10,0,0,49.7,0,,,0.5,0,3.1,0,0,0,0,0,0,,
423,Rene220,895,No,0,DoublePrime,No,1.3,0.015,0.04,16,20.1,0,1,0,0,0,0,2.4,0,1,52.95,0,0,0,0.5,2.1,2.5,0,0,0,0,0,0.1,,
424,Inconel718p2,982,No,27840,DoublePrime,No,0.47,0.005,0.03,0,18.62,0,19.29,0,0,0,0.02,2.98,0,5.15,52.38,0.0025,0,0,0.05,0,1.01,0,0,0,0,0,0,,24.1
425,J5,,No,8250,,No,0.1,0,0.01,0,12.3,0,0,,,0,0,22,0,0,64.51,0,,,0,1,0,0,0,0,0,0,0,,
426,Waspaloy1653,,No,44108,,No,1.33,0.003,0.036,8.1,19.3,0,0,0,,0,0,3.99,0,0,64.17,0,,,0,0,3.01,0,0,0,0,0,0.06,1193,
427,Inconel718KC1553,,No,985003.3333,,No,0.64,0.0072,0.046,0.44,17.8,0.001,17.1,0,,0,0.12,2.98,0,6.53,53.34,0,,,0.63,0,0.9,0,0,0,0,0,0,1472.7,
428,Udimet700,897,No,41416,GammaPrime,No,4,0.03,0.06,17,15,0,0,0,0,0,0,5,0,0,55,0,0,0,0,0,3.5,0,0,0,0,0,0,,11.2
429,MAR-M200+Hf,860,No,43550,GammaPrime,No,5,0.015,0.14,10,9,0,0,1.8,0,0,0,0,0,1,59,0,0,0,0,0,2,0,12.5,0,0,0,0.05,,7
430,Inconel718,1113,No,12230,DoublePrime,No,2.33,0.0041,0.059,0,17.2,0,19.23,0,0,0,0,2.98,0,3.16,53.56,0,0,0,0,0,1.48,0,0,0,0,0,0,,16.1
431,Inconel601,,No,1177,,No,1.4,0,0.05,0,23,0,14.1,0,,0,0.5,0,0,0,60.5,0,,,0.2,0,0,0,0,0,0,0,0,160,
432,Inconel939,,No,43394,,No,1.9,0.009,0.15,19,22.5,0,0,0,,0,0,0,0,1,48,0,,,0,1.4,3.7,0,2,0,0,0,0.09,915,
433,Astroloy,910,No,36924,GammaPrime,No,4,0.03,0.06,17,15,0,0,0,0,0,0,5.3,0,0,55,0,0,0,0,0,3.5,0,0,0,0,0,0,,21
434,Inconel718KC1555,1181.8,No,37810.8,DoublePrime,No,0.64,0.006,0.06,0.36,17.8,0,17.43,0,0,0,0.11,2.98,0,5.31,53.23,0.001,0,0,0.61,0,1.45,0,0,0,0,0,0,,9.3
435,MA0754,,No,0,,No,0.3,0,0.05,0,20,0,1,,,0,0,0,0,0,77.55,0,,,0,0,0.5,0,0,0,0,0,0,,
